,date,state,positive
202,20200413,NJ,64584.0
203,20200413,NM,1245.0
204,20200413,NV,2971.0
205,20200413,NY,195031.0
206,20200413,OH,6975.0
207,20200413,OK,2069.0
208,20200413,OR,1584.0
209,20200413,PA,24199.0
210,20200413,PR,903.0
211,20200413,RI,2976.0
212,20200413,SC,3319.0
213,20200413,SD,868.0
214,20200413,TN,5610.0
215,20200413,TX,13906.0
216,20200413,UT,2363.0
217,20200413,VA,5747.0
218,20200413,VI,51.0
219,20200413,VT,748.0
220,20200413,WA,10411.0
221,20200413,WI,3428.0
222,20200413,WV,626.0
223,20200413,WY,275.0
224,20200412,AK,272.0
225,20200412,AL,3525.0
226,20200412,AR,1280.0
227,20200412,AS,0.0
228,20200412,AZ,3539.0
229,20200412,CA,21794.0
230,20200412,CO,6893.0
231,20200412,CT,12035.0
232,20200412,DC,1875.0
233,20200412,DE,1479.0
234,20200412,FL,19355.0
235,20200412,GA,12452.0
236,20200412,GU,133.0
237,20200412,HI,486.0
238,20200412,IA,1587.0
239,20200412,ID,1407.0
240,20200412,IL,20852.0
241,20200412,IN,7928.0
242,20200412,KS,1337.0
243,20200412,KY,1840.0
244,20200412,LA,20595.0
245,20200412,MA,25475.0
246,20200412,MD,8225.0
247,20200412,ME,633.0
248,20200412,MI,24638.0
249,20200412,MN,1621.0
250,20200412,MO,4160.0
251,20200412,MP,11.0
252,20200412,MS,2781.0
253,20200412,MT,387.0
254,20200412,NC,4520.0
255,20200412,ND,308.0
256,20200412,NE,791.0
257,20200412,NH,929.0
258,20200412,NJ,61850.0
259,20200412,NM,1174.0
260,20200412,NV,2836.0
261,20200412,NY,188694.0
262,20200412,OH,6604.0
263,20200412,OK,1970.0
264,20200412,OR,1527.0
265,20200412,PA,22833.0
266,20200412,PR,897.0
267,20200412,RI,2665.0
268,20200412,SC,3319.0
269,20200412,SD,730.0
270,20200412,TN,5308.0
271,20200412,TX,13484.0
272,20200412,UT,2303.0
273,20200412,VA,5274.0
274,20200412,VI,51.0
275,20200412,VT,727.0
276,20200412,WA,10224.0
277,20200412,WI,3341.0
278,20200412,WV,611.0
279,20200412,WY,261.0
280,20200411,AK,257.0
281,20200411,AL,3191.0
282,20200411,AR,1226.0
283,20200411,AS,0.0
284,20200411,AZ,3393.0
285,20200411,CA,19472.0
286,20200411,CO,6510.0
287,20200411,CT,11510.0
288,20200411,DC,1778.0
289,20200411,DE,1479.0
290,20200411,FL,18494.0
291,20200411,GA,12159.0
292,20200411,GU,133.0
293,20200411,HI,465.0
294,20200411,IA,1510.0
295,20200411,ID,1396.0
296,20200411,IL,19180.0
297,20200411,IN,7435.0
298,20200411,KS,1268.0
299,20200411,KY,1693.0
300,20200411,LA,20014.0
301,20200411,MA,22860.0
302,20200411,MD,7694.0
303,20200411,ME,616.0
304,20200411,MI,23993.0
305,20200411,MN,1427.0
306,20200411,MO,4024.0
307,20200411,MP,11.0
308,20200411,MS,2642.0
309,20200411,MT,377.0
310,20200411,NC,4312.0
311,20200411,ND,293.0
312,20200411,NE,700.0
313,20200411,NH,885.0
314,20200411,NJ,58151.0
315,20200411,NM,1091.0
316,20200411,NV,2700.0
317,20200411,NY,180458.0
318,20200411,OH,6187.0
319,20200411,OK,1868.0
320,20200411,OR,1371.0
321,20200411,PA,21655.0
322,20200411,PR,788.0
323,20200411,RI,2349.0
324,20200411,SC,3207.0
325,20200411,SD,626.0
326,20200411,TN,5114.0
327,20200411,TX,12561.0
328,20200411,UT,2206.0
329,20200411,VA,5077.0
330,20200411,VI,51.0
331,20200411,VT,711.0
332,20200411,WA,10224.0
333,20200411,WI,3213.0
334,20200411,WV,577.0
335,20200411,WY,261.0
336,20200410,AK,246.0
337,20200410,AL,2968.0
338,20200410,AR,1171.0
339,20200410,AS,0.0
340,20200410,AZ,3112.0
341,20200410,CA,19472.0
342,20200410,CO,6510.0
343,20200410,CT,10538.0
344,20200410,DC,1660.0
345,20200410,DE,1326.0
346,20200410,FL,17531.0
347,20200410,GA,11483.0
348,20200410,GU,130.0
349,20200410,HI,442.0
350,20200410,IA,1388.0
351,20200410,ID,1353.0
352,20200410,IL,17887.0
353,20200410,IN,6907.0
354,20200410,KS,1166.0
355,20200410,KY,1693.0
356,20200410,LA,19253.0
357,20200410,MA,20974.0
358,20200410,MD,6968.0
359,20200410,ME,586.0
360,20200410,MI,22783.0
361,20200410,MN,1336.0
362,20200410,MO,3799.0
363,20200410,MP,11.0
364,20200410,MS,2469.0
365,20200410,MT,365.0
366,20200410,NC,3908.0
367,20200410,ND,278.0
368,20200410,NE,635.0
369,20200410,NH,819.0
370,20200410,NJ,54588.0
371,20200410,NM,1091.0
372,20200410,NV,2584.0
373,20200410,NY,170512.0
374,20200410,OH,5836.0
375,20200410,OK,1794.0
376,20200410,OR,1321.0
377,20200410,PA,19979.0
378,20200410,PR,725.0
379,20200410,RI,2015.0
380,20200410,SC,3065.0
381,20200410,SD,536.0
382,20200410,TN,4862.0
383,20200410,TX,11671.0
384,20200410,UT,2102.0
385,20200410,VA,4509.0
386,20200410,VI,50.0
387,20200410,VT,679.0
388,20200410,WA,10224.0
389,20200410,WI,3068.0
390,20200410,WV,554.0
391,20200410,WY,320.0
392,20200409,AK,235.0
393,20200409,AL,2769.0
394,20200409,AR,1119.0
395,20200409,AS,0.0
396,20200409,AZ,3018.0
397,20200409,CA,18309.0
398,20200409,CO,5655.0
399,20200409,CT,9784.0
400,20200409,DC,1523.0
401,20200409,DE,1207.0
402,20200409,FL,16364.0
403,20200409,GA,10566.0
404,20200409,GU,128.0
405,20200409,HI,435.0
406,20200409,IA,1270.0
407,20200409,ID,1232.0
408,20200409,IL,16422.0
409,20200409,IN,6351.0
410,20200409,KS,1106.0
411,20200409,KY,1346.0
412,20200409,LA,18283.0
413,20200409,MA,18941.0
414,20200409,MD,6185.0
415,20200409,ME,560.0
416,20200409,MI,21504.0
417,20200409,MN,1242.0
418,20200409,MO,3539.0
419,20200409,MP,11.0
420,20200409,MS,2260.0
421,20200409,MT,354.0
422,20200409,NC,3651.0
423,20200409,ND,269.0
424,20200409,NE,567.0
425,20200409,NH,788.0
426,20200409,NJ,51027.0
427,20200409,NM,865.0
428,20200409,NV,2456.0
429,20200409,NY,159937.0
430,20200409,OH,5512.0
431,20200409,OK,1684.0
432,20200409,OR,1321.0
433,20200409,PA,18228.0
434,20200409,PR,683.0
435,20200409,RI,1727.0
436,20200409,SC,2792.0
437,20200409,SD,447.0
438,20200409,TN,4634.0
439,20200409,TX,10230.0
440,20200409,UT,1976.0
441,20200409,VA,4042.0
442,20200409,VI,46.0
443,20200409,VT,628.0
444,20200409,WA,9769.0
445,20200409,WI,2885.0
446,20200409,WV,523.0
447,20200409,WY,230.0
448,20200408,AK,226.0
449,20200408,AL,2369.0
450,20200408,AR,1000.0
451,20200408,AS,0.0
452,20200408,AZ,2726.0
453,20200408,CA,16957.0
454,20200408,CO,5429.0
455,20200408,CT,7781.0
456,20200408,DC,1440.0
457,20200408,DE,928.0
458,20200408,FL,15455.0
459,20200408,GA,9901.0
460,20200408,GU,125.0
461,20200408,HI,410.0
462,20200408,IA,1145.0
463,20200408,ID,1210.0
464,20200408,IL,15078.0
465,20200408,IN,5943.0
466,20200408,KS,900.0
467,20200408,KY,1149.0
468,20200408,LA,17030.0
469,20200408,MA,16790.0
470,20200408,MD,5529.0
471,20200408,ME,537.0
472,20200408,MI,20589.0
473,20200408,MN,1154.0
474,20200408,MO,3327.0
475,20200408,MP,11.0
476,20200408,MS,2003.0
477,20200408,MT,332.0
478,20200408,NC,3426.0
479,20200408,ND,251.0
480,20200408,NE,519.0
481,20200408,NH,788.0
482,20200408,NJ,47437.0
483,20200408,NM,794.0
484,20200408,NV,2318.0
